Ticker,Company Name,3/31/1979,6/30/1979,9/30/1979,12/31/1979,3/31/1980,6/30/1980,9/30/1980,12/31/1980,3/31/1981,6/30/1981,9/30/1981,12/31/1981,3/31/1982,6/30/1982,9/30/1982,12/31/1982,3/31/1983,6/30/1983,9/30/1983,12/31/1983,3/31/1984,6/30/1984,9/30/1984,12/31/1984,3/31/1985,6/30/1985,9/30/1985,12/31/1985,3/31/1986,6/30/1986,9/30/1986,12/31/1986,3/31/1987,6/30/1987,9/30/1987,12/31/1987,3/31/1988,6/30/1988,9/30/1988,12/31/1988,3/31/1989,6/30/1989,9/30/1989,12/31/1989,3/31/1990,6/30/1990,9/30/1990,12/31/1990,3/31/1991,6/30/1991,9/30/1991,12/31/1991,3/31/1992,6/30/1992,9/30/1992,12/31/1992,3/31/1993,6/30/1993,9/30/1993,12/31/1993,3/31/1994,6/30/1994,9/30/1994,12/31/1994,3/31/1995,6/30/1995,9/30/1995,12/31/1995,3/31/1996,6/30/1996,9/30/1996,12/31/1996,3/31/1997,6/30/1997,9/30/1997,12/31/1997,3/31/1998,6/30/1998,9/30/1998,12/31/1998,3/31/1999,6/30/1999,9/30/1999,12/31/1999,3/31/2000,6/30/2000,9/30/2000,12/31/2000,3/31/2001,6/30/2001,9/30/2001,12/31/2001,3/31/2002,6/30/2002,9/30/2002,12/31/2002,3/31/2003,6/30/2003,9/30/2003,12/31/2003,3/31/2004,6/30/2004,9/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018
A,Agilent Technologies Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,128.25","22,170.55","24,802.57","14,036.54","14,854.87","9,005.45","13,143.11","16,222.87","10,979.47","6,095.18","8,387.32","6,196.85","9,213.99","10,513.48","13,922.60","15,206.25","14,096.89","10,474.52","11,732.87","10,858.18","11,784.00","10,903.84","10,191.65","11,788.91","11,311.04","12,893.21","15,887.04","16,184.33","15,818.64","18,293.58","17,077.77","14,539.25","15,480.00","16,267.45","16,644.35","15,115.08","13,438.78","12,110.24","13,694.27","13,359.72","14,548.97","13,012.34","14,187.82","13,003.26","12,901.68","13,599.10","13,873.59","15,407.47","15,220.63","15,105.80","14,412.87","14,255.89","14,244.29","14,623.11","13,647.77","12,550.01","11,345.41","10,889.20","11,027.92","13,648.92","12,798.24","12,985.49","12,517.35","10,604.67","7,933.83","6,732.50","5,501.46","6,364.09","4,882.18","5,306.58","6,304.37","6,294.02","6,973.52","7,972.68","8,817.33","9,604.47","8,538.07","9,980.64","10,838.18","9,779.44","10,976.14","11,972.74","12,623.77","11,266.00","9,895.43","9,721.40","9,387.26","11,558.37","12,053.68","12,129.88","14,401.23","14,571.40","14,658.48","15,454.56","17,225.04","17,211.23","17,788.58","14,673.58","12,832.42","10,850.44","12,871.22","13,020.53","12,160.01","14,784.87","15,151.49","15,472.79","14,662.82","14,134.43","13,635.94","13,305.81","12,913.14","13,397.63","12,540.46","13,341.88","14,244.46","15,580.53","14,392.23","14,570.26","14,386.27","15,778.38","14,729.79","15,408.41","16,066.36","16,953.09","16,791.00","17,720.53","18,976.16","19,294.69","18,975.85","18,644.90","18,018.07","18,984.99","19,142.51","18,692.61","19,049.20","19,003.57","18,436.60","14,254.35","13,728.08","12,687.02","14,182.56","13,952.91","13,892.46","13,832.01","12,854.55","13,644.21","12,098.20","11,377.06","12,513.78","13,859.27","13,888.07","12,340.50","12,242.17","13,061.63","13,412.35","15,041.37","14,440.16","15,660.86","15,293.02","15,275.29","14,133.45","14,266.45","14,658.84","15,756.00","16,505.67","17,024.14","17,726.10","19,429.48","19,038.51","19,252.38","20,839.84","20,672.40","21,905.66","22,295.28","21,564.34","23,715.17","22,152.03","21,606.22","21,165.85","19,935.95","19,910.19","21,066.76","21,545.26","22,502.26"
AA,Alcoa Inc,"1,909.12","1,804.77","2,070.04","1,930.13","2,060.13","2,092.73","2,600.14","2,178.46","2,568.97","2,214.83","1,954.50","1,908.36","1,877.18","1,733.94","2,051.32","2,446.68","2,538.98","2,928.37","3,609.85","3,632.54","3,282.81","2,756.21","2,675.87","3,002.22","2,781.48","2,782.20","2,681.84","3,132.82","3,465.79","3,312.62","3,217.59","2,949.25","3,723.56","4,676.52","5,429.42","4,120.40","3,834.83","4,696.49","4,654.29","4,943.79","5,293.39","5,681.92","6,792.53","6,566.10","5,661.42","5,506.92","5,319.79","4,889.44","5,560.82","5,737.91","5,434.72","5,477.58","6,010.97","6,498.67","5,675.51","6,140.84","5,687.61","6,173.44","5,930.00","6,130.49","6,362.32","6,505.94","7,571.23","7,740.91","7,395.22","8,947.95","9,370.86","9,323.48","11,006.16","9,991.64","10,230.78","10,997.51","11,806.84","13,110.62","14,142.62","11,843.26","11,587.05","11,103.77","13,013.87","13,687.13","15,110.35","22,868.56","22,755.29","30,411.78","25,956.39","25,056.93","21,918.49","28,976.19","31,144.89","34,044.00","26,596.25","30,195.57","31,987.93","28,066.35","16,297.44","19,232.47","16,374.65","21,553.80","22,133.56","32,883.49","30,176.00","28,716.65","29,217.79","27,350.45","25,687.84","27,993.22","26,485.49","25,309.47","23,634.97","22,788.99","24,471.21","23,371.97","21,304.35","21,137.47","23,852.54","25,732.20","27,413.47","25,561.76","26,642.82","29,392.01","27,599.60","28,156.47","25,963.30","24,784.33","24,307.54","25,067.86","27,027.51","26,021.67","28,028.00","29,051.23","29,477.30","30,840.42","35,893.95","35,241.81","33,770.10","32,293.76","34,583.41","33,578.18","30,847.14","30,999.81","27,378.73","30,245.74","29,366.22","28,348.59","33,084.22","29,033.26","27,452.08","26,134.38","18,366.46","9,203.65","8,611.41","9,011.57","6,234.47","4,995.06","6,975.33","8,836.68","8,982.82","10,064.27","11,458.61","11,741.18","12,783.76","12,101.77","12,199.21","15,706.97","12,403.84","13,569.68","14,528.74","13,712.30","11,884.67","10,271.46","11,406.96","10,436.81","12,366.90","13,421.75","13,411.53","15,719.99","16,934.97","17,906.31","18,767.09","18,083.16","17,845.14","16,836.64","15,675.42","13,621.54","10,184.23","11,451.91","10,664.33","9,206.23","10,814.43","10,842.32","10,682.28","10,379.02","9,120.31","9,333.65","9,036.58","9,132.60","9,452.66","9,145.92","8,975.17","9,263.31","9,434.15","9,110.66","9,110.66","9,089.87","9,089.87","8,362.68","8,502.93","8,235.54","8,684.75","9,915.21","10,278.88","11,369.87","12,327.34","12,652.03","13,873.81","15,790.67","15,954.79","17,469.44","19,279.93","19,538.73","18,948.24","19,757.07","20,381.85","18,613.62","19,034.34","18,077.05","15,791.81","16,404.37","15,279.78","13,629.56","12,927.75","12,377.63","12,652.69","11,699.45","12,262.81","12,930.97","9,551.07","11,741.57","12,596.22","14,687.14","12,191.04","12,191.04","13,966.81","13,259.03","13,337.95","3,912.80",,,,,,,,,,,,,,,,,,,,,,,
AAL,American Airlines Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,769.19","33,455.26","29,353.89","27,670.39","26,940.02","26,187.58","26,086.81","29,133.67","26,007.25","26,694.31","24,576.41","24,723.74","24,729.77","20,056.79","18,449.47","16,368.05","18,811.91","19,235.84","19,400.11","21,035.88","24,061.73","24,191.26","22,927.03","24,020.28","20,970.23","21,128.87","23,999.26","24,539.15","24,597.67","21,817.99","22,795.20","22,473.60","24,235.20","24,740.68","25,829.59","25,796.31","24,285.58","20,065.05","20,350.16","17,480.66","18,208.25","18,641.12","19,032.55"
AAL (Alex),Alexander & Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.40,"1,032.89",994.95,"1,181.08","1,237.45","1,083.38",989.83,725.93,939.08,"1,071.00",918.00,853.99,836.40,826.20,877.20,"1,073.63","1,147.45","1,017.23","1,135.59",896.10,848.25,766.91,706.88,856.05,817.70,"1,046.81","1,057.88","1,076.70",846.28,814.94,889.56,721.01,753.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,Advance Auto Parts Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,748.34","12,831.28","13,876.82","14,528.45","11,917.86","11,022.90","11,135.69","10,882.73","11,756.45","11,479.13","11,314.01","11,888.86","12,494.22","11,589.46","10,981.20","10,315.49","12,500.56","12,456.36","12,096.93","11,534.95","10,934.03","10,482.68","9,855.08","8,598.40","8,260.63","7,220.03","7,328.60","6,038.71","7,461.58","7,370.68","8,649.77","8,447.19","8,773.53","8,470.10","9,518.78","10,042.75","10,452.01","12,139.37","12,457.60"
AAPL,Apple Inc.,,,,,,,,,,,,,,,,"1,722.52","2,462.96","2,954.36","1,369.25","1,448.42","1,481.21","1,593.10","1,521.24","1,768.89","1,361.37","1,109.16",974.14,"1,370.36","1,791.36","2,293.56","2,098.04","2,541.42","4,129.16","5,090.16","7,123.97","5,215.48","4,955.28","5,669.83","5,309.72","4,958.36","4,426.07","5,179.85","5,619.02","4,413.37","4,961.62","5,355.14","3,345.41","4,915.50","8,089.01","4,875.84","5,860.11","6,680.47","6,999.55","5,692.13","5,346.96","7,041.00","6,004.64","4,566.75","2,715.52","3,407.48","3,928.16","3,135.82","4,027.40","4,675.71","4,268.53","5,661.27","4,578.84","3,925.00","3,037.70","2,599.49","2,762.59","2,601.33","2,307.26","1,803.47","2,775.21","1,680.89","3,657.25","3,816.95","5,133.79","5,540.00","4,902.83","7,364.08","10,185.31","16,540.07","22,041.42","17,049.06","8,367.95","4,997.92","7,637.74","8,114.78","5,441.09","7,702.73","8,376.22","6,303.00","5,203.85","5,146.42","5,097.67","6,967.29","7,511.02","7,746.65","10,018.86","12,366.57","15,032.09","25,892.54","31,109.82","36,658.34","34,263.95","29,682.32","32,759.62","30,329.01","35,313.39","38,910.68","44,487.13","48,088.74","56,630.99","60,586.59","63,852.54","58,121.44","53,417.31","59,774.34","50,834.86","48,708.59","57,969.06","57,875.24","65,663.02","69,160.27","78,184.88","72,900.81","73,746.66","72,923.24","80,076.81","86,296.36","104,823.05","105,558.25","114,520.79","120,427.89","133,463.80","165,698.89","159,540.90","173,426.96","118,953.69","109,877.08","126,118.71","153,324.92","166,406.34","147,618.96","140,809.99","150,182.56","100,688.67","95,574.99","82,377.61","75,870.60","80,265.63","79,535.38","93,615.04","112,254.20","121,157.46","127,063.23","146,367.54","150,685.38","166,039.68","169,777.80","180,054.54","190,784.19","174,159.05","185,548.39","213,096.83","237,575.71","233,744.87","228,876.71","235,014.08","222,087.17","259,223.50","276,091.06","285,420.07","295,886.55","312,608.05","325,404.60","321,074.60","323,784.47","321,657.53","310,412.51","362,010.49","356,772.43","353,518.34","376,206.18","355,220.12","376,410.65","425,608.26","505,754.78","559,002.43","546,057.51","540,213.37","546,076.21","572,530.09","623,599.97","625,352.92","559,129.31","550,568.21","499,611.31","427,731.53","414,500.20","415,683.41","415,615.00","422,148.00","372,202.49","411,122.15","442,637.91","433,125.94","470,293.05","500,317.31","500,738.96","446,529.69","469,400.29","479,069.43","508,292.31","545,254.17","560,336.95","572,440.09","613,756.37","603,277.60","633,402.72","697,505.42","647,361.04","682,427.48","748,247.13","724,773.39","720,992.90","750,546.99","722,605.99","691,740.18","643,038.93","629,010.24","666,252.05","659,561.66","586,859.34","539,709.71","536,105.73","604,304.10","513,453.82","546,975.66","523,641.83","561,529.65","571,713.80","609,163.48","605,430.82","589,327.23","617,588.49","647,076.18","730,473.56","753,717.94","748,968.12","796,466.20","744,552.00","768,901.68","847,844.25","790,050.10","866,533.02","880,937.64","859,967.80","850,820.83","905,143.68","829,383.85","816,926.78","923,751.11","896,472.37","921,558.68","1,102,393.20","1,093,240.08"
ABBV,AbbVie Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,994.78","58,358.34","64,554.17","72,896.51","67,609.39","65,471.36","72,027.99","67,555.13","70,916.24","76,814.04","77,077.26","84,013.42","78,318.14","80,871.50","82,036.97","83,122.28","86,388.29","89,743.33","83,224.05","87,989.12","91,936.53","101,009.22","110,253.94","104,263.26","96,153.54","96,430.16","93,204.23","102,948.16","106,082.93","107,038.78","111,531.25","103,305.78","90,063.57","98,571.69","95,060.54","96,842.41","89,747.61","87,989.71","92,405.02","98,681.84","101,780.40","104,000.07","111,257.06","104,389.54","102,712.14","90,840.07","98,806.02","101,763.70","99,309.80","100,496.12","103,693.41","104,934.67","105,061.98","115,560.70","111,417.03","120,007.18","141,831.49","144,050.10","154,696.24","153,974.99","178,668.94","184,416.53","150,187.78","153,202.64","156,995.02","140,283.96","139,648.03","145,326.01","143,206.23"
ABC,AmerisourceBergen Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,307.99","6,545.84","7,098.28","7,970.88","7,563.16","5,808.13","5,786.50","7,655.34","6,048.20","6,296.49","6,137.28","6,713.59","6,039.04","6,168.27","6,589.02","6,655.19","6,365.21","6,808.51","6,728.71","7,205.98","7,481.09","7,750.52","8,023.51","7,916.60","8,380.51","8,636.29","9,110.33","9,612.78","10,089.35","9,019.17","9,149.54","8,799.01","9,025.70","8,901.07","9,110.69","9,513.82","9,269.93","8,636.32","10,069.22","9,965.81","9,994.23","9,471.31","9,787.22","9,452.83","9,001.87","8,621.37","8,167.33","8,488.04","7,620.39","7,536.41","7,592.17","6,783.92","6,663.59","6,593.67","6,654.71","6,438.95","6,741.66","6,498.49","5,966.06","4,955.08","4,890.60","5,562.96","5,597.57","4,836.35","4,973.40","5,122.63","5,594.68","5,350.38","5,947.55","6,334.55","6,652.61","6,584.24","7,112.82","7,427.13","7,766.65","7,918.02","8,166.52","8,711.52","8,837.23","8,970.01","8,467.12","7,606.67","8,492.82","9,093.91","8,525.34","9,394.16","9,873.23","10,390.94","10,843.20","11,139.22","11,292.75","11,342.07","10,495.52","10,657.19","10,035.21","10,985.69","9,597.44","9,607.78","10,105.86","9,635.26","10,225.70","9,594.00","9,357.10","9,954.09","10,042.63","9,693.06","9,740.87","9,924.56","9,941.80","10,167.85","10,468.99","10,864.17","11,917.67","12,536.14","12,487.45","12,891.54","13,454.95","13,143.00","14,108.17","15,084.89","16,224.16","16,279.79","15,566.67","15,551.29","15,033.29","14,939.32","16,526.97","16,409.53","17,369.35","17,364.92","17,344.73","19,164.47","19,911.91","19,717.27","20,927.73","22,566.61","24,962.50","25,100.85","24,727.86","23,361.41","23,231.79","21,628.85","20,537.03","20,865.66","20,283.64","21,326.20","18,504.80","17,797.12","19,510.53","19,183.67","16,184.81","17,121.62","18,388.69","19,137.75","17,775.64","15,477.43","17,165.60","17,209.62","19,210.33","20,141.35","19,320.88","17,912.75","20,034.77","20,705.45","20,549.94","17,577.62","18,039.00","16,774.64","18,490.25","20,062.76","21,777.99","20,792.56","18,944.13","19,904.41","18,049.77","18,494.72","17,748.60","19,514.13","20,002.15"
ABC (Bro.),American Broadcasting Cos Inc,950.06,"1,142.92","1,276.01","1,092.84",895.94,815.87,958.83,758.26,913.96,861.14,860.63,978.62,963.90,"1,111.87","1,373.88","1,675.42","1,833.81","1,847.03","1,723.31","1,631.63","1,706.39","1,814.35","2,022.22","1,835.06","3,080.78","3,259.39","3,271.83","3,435.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABI,Applied Biosystems Inc.,637.51,579.11,589.62,825.47,772.44,934.80,"1,199.56","1,456.23","1,257.18","1,126.43",977.32,"1,147.72",860.79,754.52,"1,011.43","1,214.75","1,155.81","1,490.47","1,498.72","1,273.56","1,204.50",913.93,"1,024.16","1,153.25","1,103.75","1,132.17","1,100.16","1,375.18","1,385.34","1,228.70","1,139.44","1,145.84","1,568.77","1,434.42","1,542.76","1,042.82","1,135.52","1,151.54","1,023.23","1,058.33",934.31,"1,063.18","1,162.72",983.79,800.17,801.84,677.13,710.44,908.56,956.06,900.46,"1,025.36","1,097.82","1,303.68","1,111.78","1,159.02","1,592.79","1,450.15","1,386.60","1,697.58","1,466.05","1,267.00","1,332.99","1,072.74","1,219.41","1,489.85","1,506.01","1,623.63","2,361.20","2,069.88","2,495.73","2,568.52","2,819.52","3,485.05","3,209.45","3,449.32","3,551.94","3,054.83","3,392.94","4,858.88","4,833.98","5,853.05","7,370.51","12,400.83","20,012.75","13,723.66","24,387.76","19,690.24","5,851.92","5,648.02","5,151.84","8,322.53","4,751.03","4,139.34","3,820.91","3,669.61","3,315.64","3,976.62","4,639.79","4,308.24","4,081.44","4,389.91","3,693.05","4,098.88","3,930.30","4,032.64","3,875.57","4,162.22","4,225.03","3,881.66","4,108.60","4,242.79","4,512.21","4,712.19","5,182.70","4,991.02","5,325.51","5,181.10","4,974.00","5,285.56","5,477.51","5,986.40","5,949.39","5,585.78","6,047.08","6,812.32","6,675.99","6,721.79","6,368.21","5,662.58","5,427.63","5,734.16","5,250.73","5,648.37","5,774.14","5,796.83","6,352.63","6,811.10","5,745.17","5,704.80","5,291.07","5,642.28","5,500.01","5,341.00","5,862.76","5,654.47","6,237.14","6,185.27","5,805.58","5,227.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
