Name,Ticker,"Shares
Held","$ Dividend
Amount","%
Dividend
Yield TTM","% Forward
Dividend
Yield","$ Current
Price",,,,,,,,,,
Public Storage,PSA,1,8,4.02,4.02,199.01,,,,,,,,,,
Simon Property Group Inc,SPG,1,8,4.52,4.67,171.28,,,,,,,,,,
Broadcom Inc,AVGO,1,7.01,2.87,2.87,244.14,,,,,,,,,,
International Business Machines Corp,IBM,1,6.27,4.12,4.21,149.03,,,,,,,,,,
W.W. Grainger Inc,GWW,1,5.44,1.5,1.55,351.03,,,,,,,,,,
3M Co,MMM,1,5.44,2.46,2.55,213.19,,,,,,,,,,
Amgen Inc,AMGN,1,5.28,2.5,2.59,204.02,,,,,,,,,,
Anheuser-Busch InBev SA/NV ADR,BUD,1,4.78,4.9,5.52,86.64,,,,,,,,,,
McDonald's Corp,MCD,1,4.65,2.43,2.79,166.57,,,,,,,,,,
Whirlpool Corp,WHR,1,4.59,4.04,4.12,111.52,,,,,,,,,,
Chevron Corp,CVX,1,4.47,3.54,3.57,125.33,,,,,,,,,,
Air Products & Chemicals Inc,APD,1,4.41,2.52,2.61,168.88,,,,,,,,,,
The Home Depot Inc,HD,1,4.12,2.03,2.1,196.38,,,,,,,,,,
AbbVie Inc,ABBV,1,3.84,3.46,4.07,94.38,,,,,,,,,,
Royal Dutch Shell PLC ADR Class A,RDS.A,1,3.76,5.5,5.5,68.35,,,,,,,,,,
Royal Dutch Shell PLC ADR Class B,RDS.B,1,3.76,5.34,5.34,70.36,,,,,,,,,,
Duke Energy Corp,DUK,1,3.71,4.42,4.56,81.4,,,,,,,,,,
PepsiCo Inc,PEP,1,3.71,3.25,3.48,106.49,,,,,,,,,,
United Parcel Service Inc Class B,UPS,1,3.63,3.04,3.1,117.24,,,,,,,,,,
UnitedHealth Group Inc,UNH,1,3.61,1.23,1.34,269.2,,,,,,,,,,
Prudential Financial Inc,PRU,1,3.6,3.3,3.45,104.46,,,,,,,,,,
Johnson & Johnson,JNJ,1,3.6,2.5,2.59,139.1,,,,,,,,,,
Ameriprise Financial Inc,AMP,1,3.59,2.31,2.4,149.75,,,,,,,,,,
Dominion Energy Inc,D,1,3.34,4.56,4.65,71.85,,,,,,,,,,
Honeywell International Inc,HON,1,3.28,1.82,2,164.07,,,,,,,,,,
Exxon Mobil Corp,XOM,1,3.28,3.73,3.84,85.34,,,,,,,,,,
JPMorgan Chase & Co,JPM,1,3.2,2.16,2.79,114.62,,,,,,,,,,
Valero Energy Corp,VLO,1,3.2,2.65,2.73,117.11,,,,,,,,,,
