Symbol,action,shares,price,commission,date
DDD,buy,1,1,1,10/22/2018
MMM,buy,1,1,1,10/22/2018
WBAI,buy,1,1,1,10/22/2018
WUBA,buy,1,1,1,10/22/2018
EGHT,buy,1,1,1,10/22/2018
AHC,buy,1,1,1,10/22/2018
ATEN,buy,1,1,1,10/22/2018
AAC,buy,1,1,1,10/22/2018
AIR,buy,1,1,1,10/22/2018
AAN,buy,1,1,1,10/22/2018
ABB,buy,1,1,1,10/22/2018
ABT,buy,1,1,1,10/22/2018
ABBV,buy,1,1,1,10/22/2018
ANF,buy,1,1,1,10/22/2018
AGD,buy,1,1,1,10/22/2018
AWP,buy,1,1,1,10/22/2018
ACP,buy,1,1,1,10/22/2018
JEQ,buy,1,1,1,10/22/2018
AOD,buy,1,1,1,10/22/2018
ABM,buy,1,1,1,10/22/2018
AKR,buy,1,1,1,10/22/2018
ACN,buy,1,1,1,10/22/2018
ACCO,buy,1,1,1,10/22/2018
ATV,buy,1,1,1,10/22/2018
ATU,buy,1,1,1,10/22/2018
AYI,buy,1,1,1,10/22/2018
GOLF,buy,1,1,1,10/22/2018
ADX,buy,1,1,1,10/22/2018
PEO,buy,1,1,1,10/22/2018
AGRO,buy,1,1,1,10/22/2018
ADNT,buy,1,1,1,10/22/2018
ADT,buy,1,1,1,10/22/2018
ATGE,buy,1,1,1,10/22/2018
AAP,buy,1,1,1,10/22/2018
ADSW,buy,1,1,1,10/22/2018
WMS,buy,1,1,1,10/22/2018
ASIX,buy,1,1,1,10/22/2018
AVK,buy,1,1,1,10/22/2018
ACM,buy,1,1,1,10/22/2018
ANW,buy,1,1,1,10/22/2018
AEB,buy,1,1,1,10/22/2018
AED,buy,1,1,1,10/22/2018
AEG,buy,1,1,1,10/22/2018
AEH,buy,1,1,1,10/22/2018
AER,buy,1,1,1,10/22/2018
HIVE,buy,1,1,1,10/22/2018
AJRD,buy,1,1,1,10/22/2018
AET,buy,1,1,1,10/22/2018
AMG,buy,1,1,1,10/22/2018
AFL,buy,1,1,1,10/22/2018
MITT,buy,1,1,1,10/22/2018
MITT^A,buy,1,1,1,10/22/2018
MITT^B,buy,1,1,1,10/22/2018
AGCO,buy,1,1,1,10/22/2018
A,buy,1,1,1,10/22/2018
AEM,buy,1,1,1,10/22/2018
ADC,buy,1,1,1,10/22/2018
AL,buy,1,1,1,10/22/2018
APD,buy,1,1,1,10/22/2018
AYR,buy,1,1,1,10/22/2018
AKS,buy,1,1,1,10/22/2018
ALP^Q,buy,1,1,1,10/22/2018
ALG,buy,1,1,1,10/22/2018
AGI,buy,1,1,1,10/22/2018
ALK,buy,1,1,1,10/22/2018
AIN,buy,1,1,1,10/22/2018
ALB,buy,1,1,1,10/22/2018
AA,buy,1,1,1,10/22/2018
ALEX,buy,1,1,1,10/22/2018
ALX,buy,1,1,1,10/22/2018
ARE,buy,1,1,1,10/22/2018
ARE^D,buy,1,1,1,10/22/2018
AQN,buy,1,1,1,10/22/2018
BABA,buy,1,1,1,10/22/2018
Y,buy,1,1,1,10/22/2018
ATI,buy,1,1,1,10/22/2018
ALLE,buy,1,1,1,10/22/2018
AGN,buy,1,1,1,10/22/2018
ALE,buy,1,1,1,10/22/2018
AKP,buy,1,1,1,10/22/2018
ADS,buy,1,1,1,10/22/2018
AFB,buy,1,1,1,10/22/2018
AWF,buy,1,1,1,10/22/2018
AB,buy,1,1,1,10/22/2018
LNT,buy,1,1,1,10/22/2018
CBH,buy,1,1,1,10/22/2018
NCV,buy,1,1,1,10/22/2018
NCV^A,buy,1,1,1,10/22/2018
NCZ,buy,1,1,1,10/22/2018
NCZ^A,buy,1,1,1,10/22/2018
ACV,buy,1,1,1,10/22/2018
NIE,buy,1,1,1,10/22/2018
NFJ,buy,1,1,1,10/22/2018
ALSN,buy,1,1,1,10/22/2018
ALL,buy,1,1,1,10/22/2018
ALL^A,buy,1,1,1,10/22/2018
ALL^B,buy,1,1,1,10/22/2018
ALL^D,buy,1,1,1,10/22/2018
ALL^E,buy,1,1,1,10/22/2018
ALL^F,buy,1,1,1,10/22/2018
ALL^G,buy,1,1,1,10/22/2018
ALLY,buy,1,1,1,10/22/2018
ALLY^A,buy,1,1,1,10/22/2018
AYX,buy,1,1,1,10/22/2018
ATUS,buy,1,1,1,10/22/2018
MO,buy,1,1,1,10/22/2018
ACH,buy,1,1,1,10/22/2018
AMBR,buy,1,1,1,10/22/2018
ABEV,buy,1,1,1,10/22/2018
AMC,buy,1,1,1,10/22/2018
AEE,buy,1,1,1,10/22/2018
AMRC,buy,1,1,1,10/22/2018
AMOV,buy,1,1,1,10/22/2018
AMX,buy,1,1,1,10/22/2018
AAT,buy,1,1,1,10/22/2018
AXL,buy,1,1,1,10/22/2018
ACC,buy,1,1,1,10/22/2018
AEO,buy,1,1,1,10/22/2018
AEP,buy,1,1,1,10/22/2018
AEL,buy,1,1,1,10/22/2018
AXP,buy,1,1,1,10/22/2018
AFG,buy,1,1,1,10/22/2018
AFGE,buy,1,1,1,10/22/2018
AFGH,buy,1,1,1,10/22/2018
AMH,buy,1,1,1,10/22/2018
AMH^D,buy,1,1,1,10/22/2018
AMH^E,buy,1,1,1,10/22/2018
AMH^F,buy,1,1,1,10/22/2018
AMH^G,buy,1,1,1,10/22/2018
AMH^H,buy,1,1,1,10/22/2018
AIG,buy,1,1,1,10/22/2018
AIG.WS,buy,1,1,1,10/22/2018
AMID,buy,1,1,1,10/22/2018
ARL,buy,1,1,1,10/22/2018
ARA,buy,1,1,1,10/22/2018
AWR,buy,1,1,1,10/22/2018
AMT,buy,1,1,1,10/22/2018
AVD,buy,1,1,1,10/22/2018
AWK,buy,1,1,1,10/22/2018
COLD,buy,1,1,1,10/22/2018
APU,buy,1,1,1,10/22/2018
AMP,buy,1,1,1,10/22/2018
ABC,buy,1,1,1,10/22/2018
ANFI,buy,1,1,1,10/22/2018
AMN,buy,1,1,1,10/22/2018
AMRX,buy,1,1,1,10/22/2018
AP,buy,1,1,1,10/22/2018
APH,buy,1,1,1,10/22/2018
AXR,buy,1,1,1,10/22/2018
